,user.index,sugg.decision.utime,sugg.device.since,recognized.activity,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins60,jbsteps60,Time of Day
458,2,2015-08-29 17:06:12,,STILL,"university,point_of_interest,establishment",Partly Cloudy,22.7,0.0,42.0,0.0,13.0,594.0,17:06:12
459,2,2015-08-29 19:01:46,,IN_VEHICLE,"store,car_repair,point_of_interest,establishment",Overcast,23.4,0.0,56.0,0.0,20.0,1037.0,19:01:46
460,2,2015-08-29 22:02:46,,STILL,"university,point_of_interest,establishment",Overcast,24.5,0.0,35.0,0.0,4.0,181.0,22:02:46
464,2,2015-08-30 19:02:44,,STILL,"park,point_of_interest,establishment",Partly Cloudy,27.3,0.0,15.0,0.0,3.0,144.0,19:02:44
466,2,2015-08-31 00:31:46,,ON_FOOT,"university,point_of_interest,establishment",Clear,23.9,0.0,15.0,0.0,18.0,1095.0,00:31:46
472,2,2015-09-01 13:32:45,,STILL,"university,point_of_interest,establishment",Clear,22.6,2.0,0.0,0.0,3.0,106.0,13:32:45
474,2,2015-09-01 19:01:31,,STILL,"university,point_of_interest,establishment",Mostly Cloudy,30.8,2.0,0.0,0.0,2.0,38.0,19:01:31
476,2,2015-09-02 00:31:35,,ON_FOOT,"university,point_of_interest,establishment",Partly Cloudy,24.8,0.0,0.0,0.0,23.0,851.0,00:31:35
477,2,2015-09-02 13:31:36,,ON_FOOT,"university,point_of_interest,establishment",Mostly Cloudy,24.1,1.0,15.0,0.0,10.0,954.0,13:31:36
479,2,2015-09-02 19:01:32,,STILL,"university,point_of_interest,establishment",Clear,30.1,3.0,15.0,0.0,9.0,274.0,19:01:32
482,2,2015-09-03 13:31:33,,STILL,"university,point_of_interest,establishment",Clear,24.8,0.0,0.0,0.0,2.0,36.0,13:31:33
484,2,2015-09-03 19:01:32,,STILL,"university,point_of_interest,establishment",Partly Cloudy,28.0,0.0,60.0,0.0,25.0,1840.0,19:01:32
